prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1.0,157.0,135.0,22.0,0.0,0.0,0.8598726114649682,1.0,0.9246575342465754
2.0,157.0,135.0,21.0,1.0,0.0,0.8653846153846154,1.0,0.9278350515463918
3.0,157.0,135.0,20.0,2.0,0.0,0.8709677419354839,1.0,0.9310344827586207
4.0,157.0,135.0,20.0,2.0,0.0,0.8709677419354839,1.0,0.9310344827586207
5.0,156.0,132.0,17.0,4.0,3.0,0.8859060402684564,0.9777777777777777,0.9295774647887324
6.0,155.0,130.0,13.0,7.0,5.0,0.9090909090909091,0.9629629629629629,0.935251798561151
7.0,154.0,126.0,7.0,12.0,9.0,0.9473684210526315,0.9333333333333333,0.9402985074626865
8.0,154.0,107.0,5.0,14.0,28.0,0.9553571428571429,0.7925925925925926,0.8663967611336033
9.0,143.0,121.0,3.0,6.0,13.0,0.9758064516129032,0.9029850746268657,0.937984496124031
10.0,135.0,121.0,3.0,2.0,9.0,0.9758064516129032,0.9307692307692308,0.952755905511811
11.0,124.0,45.0,1.0,2.0,76.0,0.9782608695652174,0.371900826446281,0.5389221556886227
12.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
